ObjID,ra,dec,u,g,r,i,z
1237666299433587294,299.998932,-1.00156222,25.48653,23.950169,23.049131,21.782864,22.061892
1237666299433586794,299.99699023,-0.99926895,24.975029,23.318951,21.600847,20.021606,19.079847
1237666299433582977,300.00291154,-0.9972624,18.594994,16.399271,15.50277,15.094775,14.930419
1237666299433582999,300.00428261,-0.99917344,25.925404,25.410149,24.780876,22.06929,21.048607
1237666299433583997,299.99740577,-1.00442938,22.253878,20.26952,19.33536,18.855152,18.648922
1237666299433586068,300.00302894,-1.00307775,25.613184,21.542328,20.541292,20.073923,20.011992
1237666299433582852,299.99487867,-1.00175013,18.002478,16.427845,15.766031,15.420856,15.30828
1237666299433583998,299.99987003,-1.00623651,25.008261,23.967403,22.178623,20.813301,20.268972
1237666299433583999,299.99859739,-1.00571382,22.237257,22.14876,21.259626,21.142557,20.976179
1237666299433586018,299.99700814,-0.99442217,23.097715,21.83235,20.7882,20.401115,20.314569
1237666299433586020,299.99917428,-0.99402556,25.584455,22.06876,21.349134,21.264704,21.133039
1237666299433586024,299.99924997,-0.99370159,24.112009,25.621082,21.908855,20.712584,20.326885
1237666299433586033,299.99497561,-0.99724776,22.162886,20.957827,19.757008,19.250544,19.00157
1237666299433586062,300.00184993,-1.00612224,24.966875,21.434093,20.54446,20.119919,19.744709
1237666299433582853,299.9929009,-1.00051411,20.486059,19.030664,18.401934,18.059771,17.937357
1237666299433582854,299.99335683,-1.00246306,24.107416,22.47336,21.119616,20.537815,20.189428
1237666299433582978,300.00781446,-0.99978855,20.49272,18.392921,17.542557,17.111231,16.91609
1237666299433582980,300.00658184,-0.9944873,20.136301,25.114437,18.062424,18.038279,17.355188
1237666299433582990,300.00521769,-1.00516771,25.232479,22.511938,21.075689,19.859293,19.407736
1237666299433582997,300.0040355,-0.994928,24.037819,25.123446,25.222111,22.003613,21.4951
1237666299433583001,300.00627983,-1.00260462,24.463276,24.822405,25.18195,22.306223,22.74769
1237666299433583006,300.00668359,-1.00289028,22.295666,26.898077,25.509523,23.367275,22.512321
1237666299433583996,299.99643633,-1.00607458,20.256969,18.686029,18.052202,17.70517,17.613878
1237666299433584094,300.00326307,-1.00785954,23.607508,21.481798,20.951883,20.65312,20.337662
1237666299433585292,299.99092254,-0.99914213,23.924351,22.857895,21.429529,20.269527,19.543468
